A 2	DE-A2
6/278	DE-6-278
6/279	DE-6-279
6/280	DE-6-280
6/281	DE-6-281
6/282	DE-6-282
6/283	DE-6-283
6/284	DE-6-284
6/285	DE-6-285
6/286	DE-6-286
6/287	DE-6-287
6/288	DE-6-288
6/289	DE-6-289
6/290	DE-6-290
6/292	DE-6-292
6/293	DE-6-293
6/294	DE-6-294
6/295	DE-6-295
6/296	DE-6-296
6/297	DE-6-297
6/298	DE-6-298
6/299	DE-6-299
6/302	DE-6-302
6/303	DE-6-303
6/304	DE-6-304
6/305	DE-6-305
6/306	DE-6-306
6/307	DE-6-307
6/308	DE-6-308
6/309	DE-6-309
6/311	DE-6-311
6/312	DE-6-312
6/313	DE-6-313
6/314	DE-6-314
6/315	DE-6-315
6/316	DE-6-316
6/317	DE-6-317
6/318	DE-6-318
6/319	DE-6-319
6/320	DE-6-320
6/321	DE-6-321
6/322	DE-6-322
6/323	DE-6-323
6/324	DE-6-324
6/325	DE-6-325
6/326	DE-6-326
6/327	DE-6-327
6/328	DE-6-328
6/329	DE-6-329
6/330	DE-6-330
6/331	DE-6-331
6/332	DE-6-332
6/333	DE-6-333
6/334	DE-6-334
6/335	DE-6-335
6/336	DE-6-336
6/337	DE-6-337
6/AUD	DE-6-AUD
6/A	DE-6-A
6/EUR	DE-6-EUR
6/M	DE-6-M
6/N	DE-6-N
6/P	DE-6-P
Dü 62	DE-Due62
5	DE-5
5/106	DE-5-106
5/107	DE-5-107
5/108	DE-5-108
5/10	DE-5-10
5/112	DE-5-112
5/113	DE-5-113
5/114	DE-5-114
5/115	DE-5-115
5/117	DE-5-117
5/118	DE-5-118
5/119	DE-5-119
5/11	DE-5-11
5/121	DE-5-121
5/12	DE-5-12
5/132	DE-5-132
5/134	DE-5-134
5/135	DE-5-135
5/136	DE-5-136
5/137	DE-5-137
5/138	DE-5-138
5/139	DE-5-139
5/13	DE-5-13
5/140	DE-5-140
5/141	DE-5-141
5/142	DE-5-142
5/143	DE-5-143
5/14	DE-5-14
5/156	DE-5-156
5/157	DE-5-157
5/158	DE-5-158
5/159	DE-5-159
5/15	DE-5-15
5/160	DE-5-160
5/161	DE-5-161
5/162	DE-5-162
5/165	DE-5-165
5/167	DE-5-167
5/168	DE-5-168
5/169	DE-5-169
5/16	DE-5-16
5/175	DE-5-175
5/17	DE-5-17
5/180	DE-5-180
5/181	DE-5-181
5/182	DE-5-182
5/183	DE-5-183
5/184	DE-5-184
5/185	DE-5-185
5/186	DE-5-186
5/187	DE-5-187
5/189	DE-5-189
5/190	DE-5-190
5/191	DE-5-191
5/192	DE-5-192
5/193	DE-5-193
5/194	DE-5-194
5/195	DE-5-195
5/197	DE-5-197
5/198	DE-5-198
5/199	DE-5-199
5/19	DE-5-19
5/200	DE-5-200
5/201	DE-5-201
5/202	DE-5-202
5/203	DE-5-203
5/204	DE-5-204
5/205	DE-5-205
5/207	DE-5-207
5/208	DE-5-208
5/209	DE-5-209
5/20	DE-5-20
5/210	DE-5-210
5/211	DE-5-211
5/212	DE-5-212
5/213	DE-5-213
5/214	DE-5-214
5/216	DE-5-216
5/217	DE-5-217
5/218	DE-5-218
5/219	DE-5-219
5/21	DE-5-21
5/220	DE-5-220
5/221	DE-5-221
5/222	DE-5-222
5/223	DE-5-223
5/225	DE-5-225
5/226	DE-5-226
5/22	DE-5-22
5/23	DE-5-23
5/24	DE-5-24
5/25	DE-5-25
5/26	DE-5-26
5/28	DE-5-28
5/29	DE-5-29
5/30	DE-5-30
5/31	DE-5-31
5/32	DE-5-32
5/33	DE-5-33
5/34	DE-5-34
5/35	DE-5-35
5/39	DE-5-39
5/3	DE-5-3
5/41	DE-5-41
5/42	DE-5-42
5/43	DE-5-43
5/44	DE-5-44
5/45	DE-5-45
5/46	DE-5-46
5/47	DE-5-47
5/48	DE-5-48
5/49	DE-5-49
5/4	DE-5-4
5/50	DE-5-50
5/51	DE-5-51
5/52	DE-5-52
5/53	DE-5-53
5/55	DE-5-55
5/58	DE-5-58
5/60	DE-5-60
5/61	DE-5-61
5/62	DE-5-62
5/65	DE-5-65
5/66	DE-5-66
5/67	DE-5-67
5/68	DE-5-68
5/6	DE-5-6
5/70	DE-5-70
5/71	DE-5-71
5/73	DE-5-73
5/74	DE-5-74
5/76	DE-5-76
5/79	DE-5-79
5/7	DE-5-7
5/82	DE-5-82
5/83	DE-5-83
5/84	DE-5-84
5/87	DE-5-87
5/89	DE-5-89
5/8	DE-5-8
5/90	DE-5-90
5/91	DE-5-91
5/92	DE-5-92
5/95	DE-5-95
5/96	DE-5-96
5/97	DE-5-97
5/99	DE-5-99
5/9	DE-5-9
5 M	DE-5N
5 N	DE-5N
461/1	DE-605
1044	DE-1044
575/1	DE-575-1
575/3	DE-575-3
575	DE-575
7	DE-7
8	DE-8
9	DE-9
11	DE-11
12	DE-12
14	DE-14
15	DE-15
16	DE-16
17	DE-17
18/258	DE-18-258
18	DE-18
19	DE-19
20	DE-20
21	DE-21
22	DE-22
23	DE-23
24	DE-24
25	DE-25
26	DE-26
27	DE-27
28	DE-28
29 T	DE-29T
29	DE-29
30	DE-30
31	DE-31
32	DE-32
33	DE-33
34	DE-34
35	DE-35
36	DE-36
37	DE-37
38/004	DE-38-004
38/005	DE-38-005
38/006	DE-38-006
38/007	DE-38-007
38/008	DE-38-008
38/102	DE-38-102
38/103	DE-38-103
38/104	DE-38-104
38/105	DE-38-105
38/106	DE-38-106
38/107	DE-38-107
38/108	DE-38-108
38/109	DE-38-109
38/110	DE-38-110
38/112	DE-38-112
38/113	DE-38-113
38/114	DE-38-114
38/115	DE-38-115
38/116	DE-38-116
38/117	DE-38-117
38/118	DE-38-118
38/119	DE-38-119
38/120	DE-38-120
38/121	DE-38-121
38/123	DE-38-123
38/124	DE-38-124
38/125	DE-38-125
38/127	DE-38-127
38/128	DE-38-128
38/129	DE-38-129
38/130	DE-38-130
38/132	DE-38-132
38/133	DE-38-133
38/134	DE-38-134
38/135	DE-38-135
38/136	DE-38-136
38/137	DE-38-137
38/139	DE-38-139
38/140	DE-38-140
38/141	DE-38-141
38/146	DE-38-146
38/148	DE-38-148
38/155	DE-38-155
38/156	DE-38-156
38/157	DE-38-157
38/158	DE-38-158
38/160	DE-38-160
38/164	DE-38-164
38/166	DE-38-166
38/171	DE-38-171
38/201	DE-38-201
38/202	DE-38-202
38/203	DE-38-203
38/204	DE-38-204
38/205	DE-38-205
38/206	DE-38-206
38/207	DE-38-207
38/208	DE-38-208
38/209	DE-38-209
38/210	DE-38-210
38/211	DE-38-211
38/212	DE-38-212
38/213	DE-38-213
38/214	DE-38-214
38/215	DE-38-215
38/216	DE-38-216
38/217	DE-38-217
38/218	DE-38-218
38/219	DE-38-219
38/220	DE-38-220
38/221	DE-38-221
38/222	DE-38-222
38/223	DE-38-223
38/224	DE-38-224
38/225	DE-38-225
38/226	DE-38-226
38/228	DE-38-228
38/229	DE-38-229
38/230	DE-38-230
38/231	DE-38-231
38/234	DE-38-234
38/302	DE-38-302
38/303	DE-38-303
38/304	DE-38-304
38/305	DE-38-305
38/306	DE-38-306
38/307	DE-38-307
38/308	DE-38-308
38/309	DE-38-309
38/310	DE-38-310
38/311	DE-38-311
38/312	DE-38-312
38/313	DE-38-313
38/314	DE-38-314
38/315	DE-38-315
38/316	DE-38-316
38/317	DE-38-317
38/318	DE-38-318
38/319	DE-38-319
38/320	DE-38-320
38/321	DE-38-321
38/322	DE-38-322
38/323	DE-38-323
38/324	DE-38-324
38/325	DE-38-325
38/401	DE-38-401
38/402	DE-38-402
38/403	DE-38-403
38/404	DE-38-404
38/405	DE-38-405
38/406	DE-38-406
38/407	DE-38-407
38/408	DE-38-408
38/409	DE-38-409
38/410	DE-38-410
38/411	DE-38-411
38/412	DE-38-412
38/413	DE-38-413
38/414	DE-38-414
38/415	DE-38-415
38/416	DE-38-416
38/417	DE-38-417
38/418	DE-38-418
38/419	DE-38-419
38/420	DE-38-420
38/421	DE-38-421
38/422	DE-38-422
38/423	DE-38-423
38/424	DE-38-424
38/425	DE-38-425
38/426	DE-38-426
38/427	DE-38-427
38/428	DE-38-428
38/429	DE-38-429
38/430	DE-38-430
38/431	DE-38-431
38/432	DE-38-432
38/433	DE-38-433
38/434	DE-38-434
38/435	DE-38-435
38/436	DE-38-436
38/437	DE-38-437
38/438	DE-38-438
38/444	DE-38-444
38/445	DE-38-445
38/448	DE-38-448
38/450	DE-38-450
38/451	DE-38-451
38/458	DE-38-458
38/459	DE-38-459
38/460	DE-38-460
38/461	DE-38-461
38/462	DE-38-462
38/463	DE-38-463
38/501	DE-38-501
38/502	DE-38-502
38/503	DE-38-503
38/506	DE-38-506
38/507	DE-38-507
38/509	DE-38-509
38/510	DE-38-510
38/511	DE-38-511
38/513	DE-38-513
38/514	DE-38-514
38/517	DE-38-517
38/519	DE-38-519
38/521	DE-38-521
38/524	DE-38-524
38/525	DE-38-525
38/526	DE-38-526
38/540	DE-38-540
38/622	DE-38-622
38/623	DE-38-623
38	DE-38
38 M	DE-38M
43	DE-43
45	DE-45
46	DE-46
51	DE-51
52	DE-52
54	DE-54
60	DE-60
61	DE-61
61/08	DE-61-08
61/22	DE-61-22
61/25	DE-61-25
61/26	DE-61-26
61/27	DE-61-27
61/28	DE-61-28
61/29	DE-61-29
61/30	DE-61-30
61/31	DE-61-31
61/32	DE-61-32
61/33	DE-61-33
61/35	DE-61-35
61/36	DE-61-36
61/37	DE-61-37
61/41	DE-61-41
61/42	DE-61-42
61/43	DE-61-43
61/44	DE-61-44
61/45	DE-61-45
61/46	DE-61-46
61/48	DE-61-48
61/51	DE-61-51
61/53	DE-61-53
61/54	DE-61-54
61/55	DE-61-55
61/56	DE-61-56
61/57	DE-61-57
61/58	DE-61-58
61/72	DE-61-72
61/81	DE-61-81
61/82	DE-61-82
61/83	DE-61-83
61/88	DE-61-88
61/90	DE-61-90
62	DE-62
64	DE-64
66	DE-66
68	DE-68
69	DE-69
70	DE-70
72	DE-72
76	DE-76
77	DE-77
82/001	DE-82-001
82/002	DE-82-002
82/003	DE-82-003
82/004	DE-82-004
82/005	DE-82-005
82/006	DE-82-006
82/008	DE-82-008
82/009	DE-82-009
82/101	DE-82-101
82/102	DE-82-102
82/103	DE-82-103
82/104	DE-82-104
82/105	DE-82-105
82/106	DE-82-106
82/107	DE-82-107
82/108	DE-82-108
82/109	DE-82-109
82/110	DE-82-110
82/111	DE-82-111
82/112	DE-82-112
82/113	DE-82-113
82/114	DE-82-114
82/119	DE-82-119
82/122	DE-82-122
82/124	DE-82-124
82/127	DE-82-127
82/128	DE-82-128
82/129	DE-82-129
82/130	DE-82-130
82/131	DE-82-131
82/132	DE-82-132
82/133	DE-82-133
82/134	DE-82-134
82/135	DE-82-135
82/201	DE-82-201
82/202	DE-82-202
82/203	DE-82-203
82/204	DE-82-204
82/205	DE-82-205
82/207	DE-82-207
82/208	DE-82-208
82/209	DE-82-209
82/210	DE-82-210
82/211	DE-82-211
82/212	DE-82-212
82/213	DE-82-213
82/214	DE-82-214
82/215	DE-82-215
82/216	DE-82-216
82/217	DE-82-217
82/218	DE-82-218
82/219	DE-82-219
82/220	DE-82-220
82/221	DE-82-221
82/222	DE-82-222
82/223	DE-82-223
82/224	DE-82-224
82/225	DE-82-225
82/226	DE-82-226
82/227	DE-82-227
82/228	DE-82-228
82/229	DE-82-229
82/230	DE-82-230
82/301	DE-82-301
82/302	DE-82-302
82/303	DE-82-303
82/304	DE-82-304
82/305	DE-82-305
82/306	DE-82-306
82/307	DE-82-307
82/308	DE-82-308
82/309	DE-82-309
82/310	DE-82-310
82/311	DE-82-311
82/312	DE-82-312
82/313	DE-82-313
82/314	DE-82-314
82/315	DE-82-315
82/316	DE-82-316
82/317	DE-82-317
82/318	DE-82-318
82/319	DE-82-319
82/320	DE-82-320
82/321	DE-82-321
82/322	DE-82-322
82/323	DE-82-323
82/324	DE-82-324
82/325	DE-82-325
82/326	DE-82-326
82/327	DE-82-327
82/328	DE-82-328
82/329	DE-82-329
82/330	DE-82-330
82/331	DE-82-331
82/332	DE-82-332
82/333	DE-82-333
82/334	DE-82-334
82/401	DE-82-401
82/402	DE-82-402
82/403	DE-82-403
82/404	DE-82-404
82/405	DE-82-405
82/406	DE-82-406
82/407	DE-82-407
82/408	DE-82-408
82/409	DE-82-409
82/410	DE-82-410
82/411	DE-82-411
82/412	DE-82-412
82/413	DE-82-413
82/414	DE-82-414
82/415	DE-82-415
82/416	DE-82-416
82/417	DE-82-417
82/418	DE-82-418
82/419	DE-82-419
82/420	DE-82-420
82/421	DE-82-421
82/422	DE-82-422
82/423	DE-82-423
82/424	DE-82-424
82/501	DE-82-501
82/502	DE-82-502
82/503	DE-82-503
82/504	DE-82-504
82/505	DE-82-505
82/506	DE-82-506
82/507	DE-82-507
82/508	DE-82-508
82/509	DE-82-509
82/510	DE-82-510
82/511	DE-82-511
82/514	DE-82-514
82/515	DE-82-515
82/516	DE-82-516
82/518	DE-82-518
82/520	DE-82-520
82/521	DE-82-521
82/522	DE-82-522
82/601	DE-82-601
82/602	DE-82-602
82/603	DE-82-603
82/604	DE-82-604
82/608	DE-82-608
82/609	DE-82-609
82/611	DE-82-611
82/612	DE-82-612
82/613	DE-82-613
82/615	DE-82-615
82/616	DE-82-616
82/618	DE-82-618
82/619	DE-82-619
82/622	DE-82-622
82/623	DE-82-623
82/625	DE-82-625
82/626	DE-82-626
82/630	DE-82-630
82/632	DE-82-632
82/633	DE-82-633
82/634	DE-82-634
82/635	DE-82-635
82/636	DE-82-636
82/637	DE-82-637
82/701	DE-82-701
82/702	DE-82-702
82/703	DE-82-703
82/704 a	DE-82-704a
82/704	DE-82-704
82/705	DE-82-705
82/706	DE-82-706
82/707	DE-82-707
82/708	DE-82-708
82/709	DE-82-709
82/710	DE-82-710
82/711	DE-82-711
82/712	DE-82-712
82/713	DE-82-713
82/714	DE-82-714
82/715	DE-82-715
82/716	DE-82-716
82/717	DE-82-717
82/718	DE-82-718
82/719	DE-82-719
82/720	DE-82-720
82/721	DE-82-721
82/722	DE-82-722
82/723	DE-82-723
82/724	DE-82-724
82/725	DE-82-725
82/726	DE-82-726
82/727	DE-82-727
82/728	DE-82-728
82/729	DE-82-729
82/730	DE-82-730
82/731	DE-82-731
82/732	DE-82-732
82/733	DE-82-733
82/734	DE-82-734
82/735 a	DE-82-735a
82/735	DE-82-735
82/736	DE-82-736
82/737	DE-82-737
82/738	DE-82-738
82/739 a	DE-82-739a
82/739 b	DE-82-739b
82/739 c	DE-82-739c
82/739	DE-82-739
82/740	DE-82-740
82/741	DE-82-741
82/742	DE-82-742
82/743	DE-82-743
82/744 a	DE-82-744a
82/744 b	DE-82-744b
82/744	DE-82-744
82/745	DE-82-745
82/746	DE-82-746
82/747	DE-82-747
82/748	DE-82-748
82/749	DE-82-749
82/750	DE-82-750
82/751	DE-82-751
82/752	DE-82-752
82/753	DE-82-753
82/754	DE-82-754
82/755	DE-82-755
82/756	DE-82-756
82/757	DE-82-757
82/758	DE-82-758
82/759	DE-82-759
82/760	DE-82-760
82/761	DE-82-761
82/762	DE-82-762
82/763	DE-82-763
82/764	DE-82-764
82/765	DE-82-765
82/766	DE-82-766
82/767	DE-82-767
82/768	DE-82-768
82/769	DE-82-769
82/770	DE-82-770
82/771	DE-82-771
82/780	DE-82-780
82/781	DE-82-781
82/782	DE-82-782
82/783	DE-82-783
82	DE-82
83	DE-83
84	DE-84
89	DE-89
90	DE-90
91	DE-91
91 G	DE-91G
92	DE-92
95	DE-95
98	DE-98
100	DE-100
104	DE-104
105	DE-105
107	DE-107
109	DE-109
110	DE-110
111	DE-111
115	DE-115
121	DE-121
127	DE-127
128	DE-128
131	DE-131
132	DE-132
136	DE-136
142	DE-142
150	DE-150
153	DE-153
154	DE-154
155	DE-155
157	DE-157
160	DE-160
166	DE-166
168	DE-168
171	DE-171
174	DE-174
180	DE-180
186	DE-186
188	DE-188
204	DE-204
206	DE-206
206 H	DE-206H
209	DE-209
210	DE-210
211	DE-211
217	DE-217
221	DE-221
222	DE-222
224	DE-224
227	DE-227
229	DE-229
230	DE-230
231	DE-231
232	DE-232
233	DE-233
235	DE-235
236	DE-236
238	DE-238
239	DE-239
242	DE-242
243	DE-243
247	DE-247
248	DE-248
249	DE-249
253	DE-253
259	DE-259
260	DE-260
261	DE-261
262	DE-262
268	DE-268
270	DE-270
271	DE-260
272	DE-272
273	DE-273
274	DE-274
278	DE-278
284	DE-284
287	DE-287
289	DE-289
290/BB	DE-290-BB
290/BCT	DE-290-BCT
290/BC	DE-290-BC
290/BER	DE-290-BER
290/BE	DE-290-BE
290/BGT	DE-290-BGT
290/BHRZ	DE-290-BHRZ
290/BI	DE-290-BI
290/BMB	DE-290-BMB
290/BMG	DE-290-BMG
290/BM	DE-290-BM
290/BP	DE-290-BP
290/BR	DE-290-BR
290/BSP	DE-290-BSP
290/BSR	DE-290-BSR
290/BS	DE-290-BS
290/BU	DE-290-BU
290/BW	DE-290-BW
290/DGEG	DE-290-DGEG
290/FITW	DE-290-FITW
290/FOME	DE-290-FOME
290/PAS	DE-290-PAS
290	DE-290
290/Verw	DE-290-Verw
291	DE-291
298	DE-298
352	DE-352
354	DE-354
355	DE-355
356	DE-356
361	DE-361
362	DE-362
364	DE-364
365	DE-365
367	DE-367
368	DE-368
369	DE-369
370	DE-370
371	DE-371
372	DE-372
373	DE-373
374	DE-374
378	DE-378
379	DE-379
380	DE-380
382	DE-382
384	DE-384
385	DE-385
385/AN	DE-385-AN
385/LS	DE-385-LS
385/EX	DE-385-EX
386/02	DE-386-02
386/12	DE-386-12
386/14	DE-386-14
386/32	DE-386-32
386/36	DE-386-36
386/42	DE-386-42
386/47	DE-386-47
386/48	DE-386-48
386/54	DE-386-54
386/60	DE-386-60
386	DE-386
387	DE-387
388	DE-388
389	DE-389
393	DE-393
395	DE-395
396	DE-396
397	DE-397
399	DE-399
405	DE-405
406	DE-406
407	DE-407
409	DE-409
411	DE-411
412	DE-412
413	DE-413
414	DE-414
415	DE-415
416	DE-416
417	DE-417
418	DE-418
421	DE-421
423	DE-423
424	DE-424
425	DE-425
426	DE-426
428	DE-428
430	DE-430
431	DE-431
433	DE-433
435	DE-435
436	DE-436
437	DE-437
438	DE-438
439	DE-439
442	DE-442
444	DE-444
445	DE-445
446	DE-446
447	DE-447
448	DE-448
453	DE-453
454	DE-454
458	DE-458
461/1	DE-605
464	DE-464
465 M/10	DE-465M-10
465 M/11	DE-465M-11
465 M/12	DE-465M-12
465 M/13	DE-465M-13
465 M/14	DE-465M-14
465 M/15	DE-465M-15
465 M/16	DE-465M-16
465 M/17	DE-465M-17
465 M/18	DE-465M-18
465 M/19	DE-465M-19
465 M/1	DE-465M-1
465 M/20	DE-465M-20
465 M/21	DE-465M-21
465 M/22	DE-465M-22
465 M/23	DE-465M-23
465 M/24	DE-465M-24
465 M/25	DE-465M-25
465 M/26	DE-465M-26
465 M/27	DE-465M-27
465 M/28	DE-465M-28
465 M/2	DE-465M-2
465 M/3	DE-465M-3
465 M/4	DE-465M-4
465 M/5	DE-465M-5
465 M/6	DE-465M-6
465 M/7	DE-465M-7
465 M/8	DE-465M-8
465 M/9	DE-465M-9
465 M	DE-465M
465	DE-465
465/KWI	DE-465-KWI
466	DE-466
467	DE-467
468	DE-468
470	DE-470
473	DE-473
517	DE-517
519	DE-519
521	DE-521
522	DE-522
523	DE-523
525	DE-525
526	DE-526
527	DE-527
546	DE-546
547	DE-547
551	DE-551
552	DE-552
564	DE-564
572	DE-572
573	DE-573
575/1	DE-575-1
575/3	DE-575-3
575	DE-575
700	DE-700
703	DE-703
705	DE-705
706	DE-706
707	DE-707
708	DE-708
709	DE-709
710	DE-710
712	DE-712
713	DE-713
714	DE-714
715	DE-715
716	DE-716
733	DE-733
734	DE-734
736	DE-736
738	DE-738
739	DE-739
741	DE-741
743	DE-743
745	DE-745
746	DE-746
755	DE-755
758	DE-758
759	DE-759
760	DE-760
761	DE-761
762	DE-762
763	DE-763
764	DE-764
765	DE-765
766	DE-766
770	DE-770
772	DE-772
775	DE-775
776	DE-776
778	DE-778
780	DE-780
781	DE-781
782	DE-782
784	DE-784
786	DE-786
787	DE-787
788	DE-788
789	DE-789
790	DE-790
791	DE-791
794	DE-794
795	DE-795
796	DE-796
797	DE-797
798	DE-798
799	DE-799
800	DE-800
801	DE-801
802	DE-802
804	DE-804
806	DE-806
807	DE-807
809	DE-809
811	DE-811
812	DE-812
813	DE-813
814	DE-814
815	DE-815
816	DE-816
817	DE-817
819	DE-819
821	DE-821
824	DE-824
827	DE-827
828	DE-828
829	DE-829
830	DE-830
831	DE-831
832	DE-832
834	DE-834
835	DE-835
836	DE-836
837	DE-837
838	DE-838
839	DE-839
841	DE-841
858	DE-858
859	DE-859
860	DE-860
861	DE-861
862	DE-862
863	DE-863
875	DE-875
889	DE-889
890	DE-890
892	DE-892
897	DE-897
898	DE-898
902	DE-902
916	DE-916
917	DE-56
918	DE-918
920	DE-920
921	DE-921
922	DE-922
927	DE-927
928	DE-928
929	DE-929
933	DE-933
936	DE-936
939	DE-939
942	DE-942
945	DE-945
946	DE-946
948	DE-948
956	DE-956
959	DE-959
960	DE-960
967	DE-967
977	DE-977
978	DE-978
979	DE-979
980	DE-980
987	DE-987
992	DE-992
994	DE-994
996	DE-996
1010	DE-1010
1013	DE-1013
1017	DE-1017
1018	DE-1018
1020	DE-1020
1028	DE-1028
1029	DE-1029
1031	DE-1031
1032	DE-1032
1035	DE-1035
1037	DE-1037
1038	DE-1038
1041	DE-1041
1042	DE-1042
1043	DE-1043
1044	DE-1044
1046	DE-1046
1047	DE-1047
1049	DE-1049
1050	DE-1050
1051	DE-1051
1052	DE-1052
1071	DE-1071
1072	DE-1072
1073	DE-1073
1075	DE-1075
1082	DE-1082
1084	DE-1084
1086	DE-1086
1088	DE-1088
1089	DE-1089
1094	DE-1094
1102	DE-1102
1105	DE-1105
1110	DE-1110
1114	DE-1114
1116	DE-1116
1117	DE-1117
1122	DE-1122
1131	DE-1131
1132	DE-1132
1140	DE-1140
1145	DE-1145
1146	DE-1146
1149	DE-1149
1150	DE-1150
1156	DE-1156
1156/1	DE-1156-1
1167	DE-1167
1180	DE-1180
1182	DE-1182
1185	DE-1185
1214	DE-1214
1222	DE-1222
1226	DE-1226
1230	DE-1230
1232	DE-1232
1244	DE-1244
1257	DE-1257
1261	DE-1261
1273	DE-1273
1274	DE-1274
1275	DE-1275
1277	DE-1277
1278	DE-1278
1280	DE-1280
1283	DE-1283
1284	DE-1284
1320	DE-1320
1321	DE-1321
1323	DE-1323
1326	DE-1326
1328	DE-1328
1330	DE-1330
1331	DE-1331
1332	DE-1332
1334	DE-1334
1338	DE-1338
1383	DE-1383
1383a	DE-1383a
1393	DE-1393
UB Braunschweig &lt;84>	DE-84
Nds. Landtag &lt;Hv 14>	DE-Hv14
SUB+Uni Hamburg &lt;18>	DE-18
UB Kiel &lt;8>	DE-8
ZBW Kiel &lt;206>	DE-206
THULB Jena &lt;27>	DE-27
UFB Erfurt/Gotha &lt;547>	DE-547
UB Rostock &lt;28>	DE-28
TIB/UB Hannover &lt;89>	DE-89
GWLB Hannover &lt;35>	DE-35
UB Osnabr”ck &lt;700>	DE-700
00	
1116/DLR	DE-1116-DLR
133	DE-133
1393/BOT	DE-1393-BOT
290 E	DE-290E
361/13	DE-361-13
361/1	DE-361-1
38/233	DE-38-233
5/224	DE-5-224
5/227	DE-5-227
587	DE-587
6/338	DE-6-338
6/EXP	DE-6-EXP
6/Z	DE-6-Z
82/007	DE-82-007
82/011	DE-82-011
82/231	DE-82-231
82/335	DE-82-335
82/336	DE-82-336
82/715 a	DE-82-715a
82/772	DE-82-772
82/773	DE-82-773
82/774	DE-82-774
82/775	DE-82-775
82/776	DE-82-776
82/777	DE-82-777
82/778	DE-82-778
82/779	DE-82-779
82/785	DE-82-785
Hzr 1	DE-Hzr1
Kn 184	DE-Kn184
Kn 192	DE-Kn192
Kn 38/LS	DE-Kn38-LS
Kn 41/97	DE-Kn41-97
Kn 41/98	DE-Kn41-98
Le 1	DE-Le1
Rag 1	DE-Rag1
Sie 5	DE-Sie5
ZDB-10-ARA	ZDB-10-ARA
ZDB-10-BBB	ZDB-10-BBB
ZDB-10-CER	ZDB-10-CER
ZDB-10-CHE	ZDB-10-CHE
ZDB-10-EEE	ZDB-10-EEE
ZDB-10-EPE	ZDB-10-EPE
ZDB-10-ESC	ZDB-10-ESC
ZDB-10-GER	ZDB-10-GER
ZDB-10-KNL	ZDB-10-KNL
ZDB-10-MMN	ZDB-10-MMN
ZDB-10-NNT	ZDB-10-NNT
ZDB-10-SED	ZDB-10-SED
ZDB-11-EBC	ZDB-11-EBC
ZDB-12-LGW	ZDB-12-LGW
ZDB-13-SOC	ZDB-13-SOC
ZDB-14-DLO	ZDB-14-DLO
ZDB-15-ACM	ZDB-15-ACM
ZDB-16-HEB	ZDB-16-HEB
ZDB-17-ACL	ZDB-17-ACL
ZDB-18-BEO	ZDB-18-BEO
ZDB-19-BRO	ZDB-19-BRO
ZDB-1-AAS1	ZDB-1-AAS1
ZDB-1-AAS2	ZDB-1-AAS2
ZDB-1-ACS	ZDB-1-ACS
ZDB-1-AHM	ZDB-1-AHM
ZDB-1-AHN	ZDB-1-AHN
ZDB-1-AHP	ZDB-1-AHP
ZDB-1-AIP	ZDB-1-AIP
ZDB-1-AIPK	ZDB-1-AIPK
ZDB-1-ALD	ZDB-1-ALD
ZDB-1-ANR	ZDB-1-ANR
ZDB-1-ANRK	ZDB-1-ANRK
ZDB-1-APS	ZDB-1-APS
ZDB-1-AQC	ZDB-1-AQC
ZDB-1-ART	ZDB-1-ART
ZDB-1-ASC	ZDB-1-ASC
ZDB-1-BAA	ZDB-1-BAA
ZDB-1-BCN	ZDB-1-BCN
ZDB-1-BEP	ZDB-1-BEP
ZDB-1-BHB	ZDB-1-BHB
ZDB-1-BIO	ZDB-1-BIO
ZDB-1-BJA	ZDB-1-BJA
ZDB-1-BLN	ZDB-1-BLN
ZDB-1-BMJ	ZDB-1-BMJ
ZDB-1-BPC	ZDB-1-BPC
ZDB-1-CAA	ZDB-1-CAA
ZDB-1-CAB	ZDB-1-CAB
ZDB-1-CAD	ZDB-1-CAD
ZDB-1-CAJ	ZDB-1-CAJ
ZDB-1-CEE	ZDB-1-CEE
ZDB-1-CIA	ZDB-1-CIA
	<!-- Nationallizenzen -->
ZDB-1-ATS	ZDB-1-ATS
ZDB-1-BEC	ZDB-1-BEC
ZDB-1-CDC	ZDB-1-CDC
ZDB-1-CLF	ZDB-1-CLF
ZDB-1-CLM	ZDB-1-CLM
ZDB-1-DFL	ZDB-1-DFL
ZDB-1-DLC	ZDB-1-DLC
ZDB-1-DLP	ZDB-1-DLP
ZDB-1-EAI	ZDB-1-EAI
ZDB-1-ECC	ZDB-1-ECC
ZDB-1-EEB	ZDB-1-EEB
ZDB-1-EIO	ZDB-1-EIO
ZDB-1-ELW	ZDB-1-ELW
ZDB-1-EMO	ZDB-1-EMO
ZDB-1-KBL	ZDB-1-KBL
ZDB-1-KEB	ZDB-1-KEB
ZDB-1-LCL	ZDB-1-LCL
ZDB-1-MME	ZDB-1-MME
ZDB-1-MML	ZDB-1-MML
ZDB-1-MOR	ZDB-1-MOR
ZDB-1-MYA	ZDB-1-MYA
ZDB-1-NAI	ZDB-1-NAI
ZDB-1-NEF	ZDB-1-NEF
ZDB-1-NEL	ZDB-1-NEL
ZDB-1-RSE	ZDB-1-RSE
ZDB-1-RTH	ZDB-1-RTH
ZDB-1-SMI	ZDB-1-SMI
ZDB-1-SOT	ZDB-1-SOT
ZDB-1-TES	ZDB-1-TES
ZDB-1-WFR	ZDB-1-WFR
ZDB-23-DGG	ZDB-23-DGG
